user,goal,tagging,tagged,left
user0,50,33,90,-40
user1,50,0,116,-66
user2,50,0,117,-67
user3,50,6,50,0
user4,50,31,9,41
user5,50,0,0,50
user6,50,0,44,6
user7,50,1,21,29
user8,50,0,44,6
user9,50,1,19,31
user10,50,14,29,21
user11,50,2,40,10
user12,50,0,50,0
user13,50,2,51,-1
user14,50,4,38,12
user15,50,0,0,50
user16,50,2,21,29
user17,50,0,59,-9
user18,50,0,50,0
user19,50,10,41,9
user20,50,5,45,5
user21,50,1,13,37
user22,50,0,5,45
user23,50,2,10,40
user24,50,1,50,0
user25,50,0,37,13
