user,category,goal,tagged,left
user0,120,16,106,14
user1,120,0,116,4
user2,120,0,116,4
user3,50,6,50,0
user4,50,36,50,0
user5,50,0,0,50
user6,50,0,44,6
user7,50,2,22,28
user8,50,0,54,-4
user9,50,2,21,29
user10,50,14,28,22
user11,100,49,117,-17
user12,50,0,50,0
user13,50,2,51,-1
user14,50,0,50,0
user15,50,0,0,50
user16,50,2,24,26
user17,100,0,109,-9
user18,50,0,50,0
user19,50,0,51,-1
user20,50,0,50,0
user21,50,1,13,37
user22,50,0,53,-3
user23,50,2,10,40
user24,50,1,50,0
user25,50,0,43,7
user26,50,0,0,50
user27,50,2,9,41
user28,50,0,5,45
user29,50,0,37,13
user30,50,0,50,0
user31,50,0,50,0
user32,50,0,0,50
user33,50,1,12,38
user34,50,0,88,-38
user35,50,15,7,43
user36,50,13,29,21
user37,50,0,0,50
user38,50,0,0,50
user39,50,0,0,50
user40,50,0,57,-7
user41,50,0,50,0
user42,50,0,62,-12
user43,50,0,50,0
user44,50,0,1,49
user45,50,0,104,-54
user46,50,1,0,50
user47,50,9,60,-10
user48,50,0,0,50
user49,50,2,41,9
user50,50,20,50,0
user51,50,0,50,0
user52,50,0,0,50
user53,50,1,7,43
user54,50,0,0,50
user55,50,0,0,50
user56,50,0,0,50
user57,50,0,0,50
user58,50,0,53,-3
user59,50,0,0,50
user60,50,5,50,0
user61,50,0,84,-34
