username,category,words/tag_w,words/tag_s,avg_len_tagged_word,avg_len_tagged_sentence
user12,beauty,296.81627906976746,334.1125654450262,5.455813953488372,21.37958115183246
user17,beauty,291.9453125,369.990099009901,3.8385416666666665,33.834983498349835
user17,movie_alldone,121.72416891284816,260.03646833013437,5.641060197663971,82.34548944337811
user26,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user27,beauty,126.63876651982379,131.2648401826484,5.057268722466961,18.041095890410958
user28,beauty,80.57142857142857,112.8,3.3333333333333335,30.6
user29,beauty,138.98620689655172,158.68503937007873,8.572413793103449,22.26771653543307
user30,beauty,107.70848056537102,112.06433823529412,5.107773851590106,26.137867647058822
user31,beauty,165.2314814814815,202.7840909090909,3.8425925925925926,27.193181818181817
user32,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user33,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user34,beauty,20.00010016025641,46.6,3.6419270833333335,32.434772462077014
user35,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user36,beauty,44.86851851851852,67.30277777777778,4.162962962962963,24.969444444444445
user37,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user38,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user39,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user40,beauty,391.321568627451,464.12558139534883,5.8313725490196076,25.511627906976745
user41,beauty,181.35,197.83636363636364,4.3,30.181818181818183
user42,beauty,262.98275862068965,281.4206642066421,3.1655172413793102,29.02029520295203
user43,beauty,84.81322957198444,91.58403361344538,5.235408560311284,13.71218487394958
user44,beauty,124.42105263157895,94.56,6.7368421052631575,19.48
user45,beauty,177.86423220973782,169.75781948168006,3.9559925093632957,32.299374441465595
user46,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user47,beauty,146.25864123957092,184.52781954887217,5.806912991656734,28.174436090225562
user48,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user49,beauty,105.52750809061489,143.01754385964912,3.56957928802589,26.653508771929825
user50,beauty,81.3609865470852,114.83227848101266,5.926008968609866,25.08386075949367
user51,beauty,55.95066666666666,105.96717171717172,3.128,26.232323232323232
user52,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user53,beauty,127.54651162790698,100.17351598173516,3.88953488372093,21.027397260273972
user54,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user55,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user56,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user57,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user58,beauty,115.0032894736842,125.53321364452424,4.868421052631579,16.344703770197487
user59,beauty,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user60,beauty,143.26395939086294,195.31487889273356,4.373096446700508,18.68166089965398
