title,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,word_five,word_four,word_three,word_two,word_one
讓人愛不釋手的lunasol彩妝系列，從底妝到完妝只有透亮形容,12,18,6,3,6,7,13,11,10,2
 分享｜Reach 麗奇，PUMPING牙膏亮白系列，pumping新誕生，為自己的牙齒深層潔淨一下     ,13,31,11,3,5,10,18,6,11,4
那些類青春露的替代保養品♥八罐前導精華與保濕化妝水評比♥SK-II青春露/Kiehl's契爾氏紫鳶青春肌活露/Userism靓肌靚水漾仙跡微分子前導活膚菁露/VINATA台酒生技酒粕精粹逆齡活膚青春露/Hada-Labo肌研極潤保濕化妝水/Dr. Selection賽萊斯海泥分子酊保濕化妝水1%/Kiehl's契爾氏冰河保濕機能水/Decorte黛珂超微脂修護源露,20,38,19,13,3,17,13,23,19,5
【日本藥妝分享】想買BB的人一定要看！Chocola BB系列5大商品差異比較總整理～ ✽ ,8,5,3,1,0,2,8,9,11,1
自己的白皙肌膚自己守護！10款防曬實測！,9,23,21,6,11,3,21,17,7,7
【桃園特賣會】瑪登瑪朵內衣3件888元、內褲6件588元、馬甲99元，還有皮件490元起、登山包5折、萬國行李箱6折~PARK食尚廣場附近,4,12,5,1,3,0,4,3,6,1
膠原蛋白大解密！各種膠原蛋白的疑難雜症，Kevin一次解答！,11,8,7,1,0,7,4,12,7,2
臉部保養║日本面膜 BCL Saborino 早安面膜 早上起床不洗臉？敷臉等於洗臉 ❤跟著Livia享受人生❤,6,3,6,1,3,4,2,10,2,5
e-nail x K.Fika 6月新色_夢想不需急著完成，但要不斷地靠近夢想！,2,8,7,0,1,0,6,6,0,0
抱歉!我們真的不適合~DR.CINK三款精華液使用分享,6,4,0,3,2,1,3,3,4,14
【美國超級淡斑皂】美國 Dermisa  淡斑皂洗完馬上過敏耶!! @Katty ~ 愛夢幻,2,2,2,0,1,2,0,2,5,8
【美妝】日本@cosme 開架唇膏NO.1 OPERA金管唇膏全試色/含限定#09Sakura Petal,0,5,6,2,7,1,9,6,8,5
大貓遇到艾多美,0,3,2,0,0,1,5,2,1,1
向六年婚姻致敬，辛苦了！謝謝你(妳)的不離不棄。JWwedding婚紗攝影/自助婚紗攝影工作室 ＃ ＡＤ,6,11,5,0,0,3,5,4,0,0
誰說一定要漂髮才能擁有特殊色？ 去兜告訴你『不需漂』即可擁有的特殊色大特輯,0,5,1,0,0,0,3,5,1,0
【保養】縮時保養正流行！Saborino晚安面膜。早安面膜。不只早上要多睡點，晚上也要早點去睡美容覺！,3,6,7,1,0,1,7,13,5,1
【保養】日本Labo Labo的毛孔系列好用到誇張，怎麼可能是開架商品！,16,38,13,0,0,11,24,15,1,0
【美妝】日本熱賣不是沒有原因！OPERA Lip Tint渲漾水色唇膏全試色♥♥ ,6,20,4,0,0,6,12,7,1,0
卸妝、洗臉，一皂搞定《黃金米系列-紅寶美顏皂特惠組》,3,4,0,0,0,2,1,3,0,0
[心得+試色]14隻MAC子彈唇膏試色｜14 MAC LIPSTICKS SWATCHES,5,23,4,1,8,1,19,11,10,9
益膚乳霜使用回饋分享(10701),0,1,0,0,0,0,1,2,1,1
【保養】德國安瓶讓臉蛋兒發光 ISANA v.s. Balea 與 德國時空膠囊 (2018更新),17,27,12,0,0,7,25,12,0,0
好物∣七款油頭洗髮精大評比,4,8,10,0,3,4,9,7,3,7
［保養］眼睛的好夥伴-7種人工淚液5種眼藥水大評比,3,7,6,0,2,3,4,11,6,5
【美妝】7款熱門開架睫毛膏評比,3,11,10,4,7,5,4,10,13,11
【生活】喜樂纖S秘方!!我也要向美容大王~大S看齊!!!,0,2,2,1,0,0,4,7,5,1
【保養】搞定粉刺毛孔。敷完粉刺立刻浮出看的到♥KIEHL’S 契爾氏亞馬遜白泥淨緻毛孔面膜,0,4,2,0,0,3,8,4,0,0
[做臉] 終於可以推薦大家做臉了!Eva's Diary 美容工作室，價格合理又細心♡,0,5,2,0,0,0,6,6,8,2
2018 Dior限量春妝＋迪奧癮誘粉漾潤唇膏全新6色 試色報告！,2,5,2,2,0,4,10,10,0,1
【身體保養】CP值超高！澳洲必敗好物~ 來自澳洲的G&M AUSTRALIAN Emu Oil Moisturising Cream 鴯鶓油保濕乳霜,3,10,3,1,0,1,13,8,0,0
韓國非買不可的JAYJUN三部曲面膜~~大集合!!,11,28,1,0,0,3,20,8,0,0
"嘎嘎的新生兒脂漏性皮膚炎,靠Alobaby三天完勝",5,10,2,2,0,4,11,1,0,0
【日本美妝】2018日本必買@cosme排行榜人氣美妝10選,8,15,8,5,1,5,8,7,1,0
[開箱] 只要3秒化好眼影？韓國16 Brand漸層眼影手殘也能搞定眼妝,8,4,1,0,0,6,4,4,1,0
【美妝】韓國 W.Lab白雪公主亮白霜／素顏霜 ❤ 韓妞彩妝師Pony超推薦：一秒擁有偽素顏水潤肌,6,11,6,0,0,4,9,8,0,0
倩碧花漾腮紅14款全試色,11,14,5,0,0,9,14,13,0,0
[分享] Maybelline媚比琳 超持久霧感液態唇膏Super Stay Matte Ink,4,10,1,0,0,2,7,1,0,0
【美妝】超洗版網紅商品 Dr. Cink達特聖克 CC霜~開 瓶 囉!,7,6,4,0,0,1,7,4,0,0
[美妝] 日本妹超愛，operaオペラ金管花嫁唇釉/唇膏三色試色,4,7,9,3,1,6,3,8,2,0
「底妝」用過就不會變心×韓國VDL 貝殼光妝前乳,9,15,1,0,0,5,10,2,3,0
[試用+體驗] 傳奇今生紅櫻桃健康唇膏,9,7,0,0,0,3,11,3,0,0
☆好物分享☆澳洲萬用軟膏～LUCAS' PAPAW Ointment木瓜霜,14,12,1,0,0,6,8,4,1,0
[保養] 來自法國巴黎的 NUXE 黎可詩全效晶亮精華油，一瓶搞定所有保養,9,17,3,0,0,5,10,9,0,0
【美妝】Pony Effect神秘黑瓶粉底液12小時實測分享─大推持久遮瑕約會完勝粉底,3,6,8,2,0,1,12,9,3,0
【保養】雪花秀必買清單！♥用了不知道幾瓶的潤燥精華EX & 氣墊粉霜,15,7,3,8,0,7,10,7,4,11
｡◕‿◕｡ 愛心の黃色小藥丸／武田合利他命強效錠EX PLUS ｡◕‿◕｡,6,4,6,8,17,1,4,2,2,2
[保養] 用過就絕不會忘記的無敵小棕瓶 ♥ 雅詩蘭黛 特潤超導修護露,11,6,1,9,22,5,6,3,10,23
"這支BB霜真的不錯~媚比琳純淨礦物BB霜SPF26 PA+++,有特價時趕快購入吧～ @ 愛美雙子星 :: 痞客邦 ::",5,6,27,18,9,4,5,18,22,8
【愛漂亮】歐洲草本植萃Herbal Care-蕁麻清爽植萃調理洗髮露、人蔘深層強健護髮素，潔淨頭皮保護秀髮 @ 【迷你王の瘋狂生活】 :: 痞客邦 ::,6,6,11,17,14,4,5,9,14,12
三峽*大板根-Lulu Spa美人湯 @ Nicole的生活日記 :: 痞客邦 ::,6,1,11,19,8,3,0,6,10,17
＊體驗＊日本ISM沙龍級蜜糖椰子洗護髮系列。讓我的受損頭髮蓬鬆發亮香味更持久 @ 洋娃娃的夢幻城堡♡MAKE UP BEAUTY  :: 痞客邦 ::,8,5,8,40,27,4,0,10,27,45
<保養>我的居家除毛初體驗。艾迪美Actimed蜜蠟脫毛系列，不留殘膠超方便! @ T芬妮。愛水小姐 :: 痞客邦 ::,7,2,14,27,16,2,2,9,18,20
