title,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,word_five,word_four,word_three,word_two,word_one
【保養】德國安瓶讓臉蛋兒發光 ISANA v.s. Balea 與 德國時空膠囊 (2018更新),17,27,12,0,0,7,25,12,0,0
[心得+試色]14隻MAC子彈唇膏試色｜14 MAC LIPSTICKS SWATCHES,5,23,4,1,8,1,19,11,10,9
【保養】縮時保養正流行！Saborino晚安面膜。早安面膜。不只早上要多睡點，晚上也要早點去睡美容覺！,3,6,7,1,0,1,7,13,5,1
好物∣七款油頭洗髮精大評比,4,8,10,0,3,4,9,7,3,7
 分享｜Reach 麗奇，PUMPING牙膏亮白系列，pumping新誕生，為自己的牙齒深層潔淨一下     ,13,31,11,3,5,10,18,6,11,4
【生活】喜樂纖S秘方!!我也要向美容大王~大S看齊!!!,0,2,2,1,0,0,4,7,5,1
【桃園特賣會】瑪登瑪朵內衣3件888元、內褲6件588元、馬甲99元，還有皮件490元起、登山包5折、萬國行李箱6折~PARK食尚廣場附近,4,12,5,1,3,0,4,3,6,1
大貓遇到艾多美,0,3,2,0,0,1,5,2,1,1
讓人愛不釋手的lunasol彩妝系列，從底妝到完妝只有透亮形容,12,18,6,3,6,7,13,11,10,2
自己的白皙肌膚自己守護！10款防曬實測！,9,23,21,6,11,3,21,17,7,7
誰說一定要漂髮才能擁有特殊色？ 去兜告訴你『不需漂』即可擁有的特殊色大特輯,0,5,1,0,0,0,3,5,1,0
【保養】搞定粉刺毛孔。敷完粉刺立刻浮出看的到♥KIEHL’S 契爾氏亞馬遜白泥淨緻毛孔面膜,0,4,2,0,0,3,8,4,0,0
【美國超級淡斑皂】美國 Dermisa  淡斑皂洗完馬上過敏耶!! @Katty ~ 愛夢幻,2,2,2,0,1,2,0,2,5,8
[做臉] 終於可以推薦大家做臉了!Eva's Diary 美容工作室，價格合理又細心♡,0,5,2,0,0,0,6,6,8,2
益膚乳霜使用回饋分享(10701),0,1,0,0,0,0,1,2,1,1
【美妝】7款熱門開架睫毛膏評比,3,11,10,4,7,5,4,10,13,11
【保養】日本Labo Labo的毛孔系列好用到誇張，怎麼可能是開架商品！,16,38,13,0,0,11,24,15,1,0
【美妝】日本熱賣不是沒有原因！OPERA Lip Tint渲漾水色唇膏全試色♥♥ ,6,20,4,0,0,6,12,7,1,0
e-nail x K.Fika 6月新色_夢想不需急著完成，但要不斷地靠近夢想！,2,8,7,0,1,0,6,6,0,0
［保養］眼睛的好夥伴-7種人工淚液5種眼藥水大評比,3,7,6,0,2,3,4,11,6,5
2018 Dior限量春妝＋迪奧癮誘粉漾潤唇膏全新6色 試色報告！,2,5,2,2,0,4,10,10,0,1
向六年婚姻致敬，辛苦了！謝謝你(妳)的不離不棄。JWwedding婚紗攝影/自助婚紗攝影工作室 ＃ ＡＤ,6,11,5,0,0,3,5,4,0,0
臉部保養║日本面膜 BCL Saborino 早安面膜 早上起床不洗臉？敷臉等於洗臉 ❤跟著Livia享受人生❤,6,3,6,1,3,4,2,10,2,5
抱歉!我們真的不適合~DR.CINK三款精華液使用分享,6,4,0,3,2,1,3,3,4,14
【美妝】日本@cosme 開架唇膏NO.1 OPERA金管唇膏全試色/含限定#09Sakura Petal,0,5,6,2,7,1,9,6,8,5
卸妝、洗臉，一皂搞定《黃金米系列-紅寶美顏皂特惠組》,3,4,0,0,0,2,1,3,0,0
【日本藥妝分享】想買BB的人一定要看！Chocola BB系列5大商品差異比較總整理～ ✽ ,8,5,3,1,0,2,8,9,11,1
