title,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,word_five,word_four,word_three,word_two,word_one
[中山站美食] 光一敘集-擁抱都市綠洲的靜美，讓人心醉的清新窗景！(附完整菜單MENU) 中山站咖啡廳/中山站下午茶/台北咖啡廳/台北下午茶/台北供wifi插座餐廳推薦,16,21,3,0,0,7,18,3,5,1
【新北素食】板橋二十年的老字號素菜餐廳，展苑素菜餐廳必點好滋味推薦您<(‵▽′)>,8,7,2,0,0,5,5,6,8,0
"[桃園]桃園四大肉粽名店簡介,不管是想吃南部粽或北部粽,點進來看看就對了  by蛋拔",3,19,9,2,4,1,6,9,6,8
[台中]盛橋刈包(創意新吃法的刈包！),7,13,6,1,0,1,10,11,6,0
【台北】『胖老爹美式炸雞』松山店~吮指奶香炸雞到底在紅什麼！?,0,6,2,0,3,0,11,3,6,2
掉進南法風情的世外桃源 蒙馬特影像咖啡館 ＃陽明餐咖啡 ＃秘密後花園 ＃景觀咖啡 ＃商業攝影 ＃約會秘境,1,10,0,0,0,1,5,1,3,2
【台南｜吃】府城百年傳香肉粽老店～再發號(肉粽專賣),10,7,6,0,0,2,8,2,0,0
萬華.西門町黑糖珍珠鮮奶『花羨沐嵐(台北西門店)』藝人NONO新開店/捷運西門站,0,6,2,0,0,0,2,4,4,2
【台北美食】『AN Burger』中山美式漢堡/巷弄間美式餐廳/近捷運中山站/漢堡自己配/不定期舉辦巨無霸漢堡挑戰賽,11,18,6,1,0,5,13,12,8,1
【埔里美食】盤點埔里15間人氣美食 假日就是要出遊吃美食呀~,3,15,3,1,2,4,7,5,7,6
【高雄美食】肉多多火鍋/肉多到吃不完/還有暴龍級特餐等你來挑戰,6,5,0,0,0,4,4,5,1,0
【彰化田中】小田生活 咖啡｜金黃稻田裡的文青咖啡屋，綠色草皮野餐趣，親子同樂美式帳篷，近明禮國小,0,6,3,1,0,0,5,7,3,1
台中美食~Cream Tea 如綻放的黃玫瑰 家常檸檬塔與奶油茶英式司康組合 一等就是四個月 值得期待與等待的細緻美味,11,6,0,0,0,5,4,1,1,0
"【台灣壽司郎】台灣一號店,日本第一迴轉壽司『台湾スシロー 台灣壽司郎』,松葉蟹握壽司必吃!捷運台北車站",7,11,0,2,3,2,11,1,2,8
【台北美食】日本第一迴轉壽司。壽司郎スシロー。超高CP值。附菜單價格心評價,1,8,8,0,9,0,4,10,3,4
婚禮新人們的湖水藍夢幻小甜點-His&Hers義式布丁,1,10,13,0,0,1,1,8,6,2
【開封包公府的私房麵】雙連站美食 ★ 詢問度高&CP值高,0,11,1,3,0,0,5,4,7,4
[老店食記] 新竹－乾家、成家肉粽大王~對味的粿粽,3,9,3,0,0,1,5,5,1,0
台北市士林區-社中街132號無名豆漿,1,1,2,0,0,1,2,4,2,1
2018世足賽》雙北14家轉播酒吧餐廳推薦，快揪團預訂一起加油！,1,4,1,0,0,0,0,5,2,4
【台北】injoy X 獨特牛排館~景美夜市平價排餐的獨特美味,7,6,2,2,0,4,3,2,4,0
【台北市推薦/必吃火鍋】暴龍級火鍋-肉多多火鍋-火鍋第一品牌！高CP值火鍋首選，打卡再送一盤肉，生日、聚會、宵夜推薦火鍋主題餐廳,11,18,1,0,0,4,14,11,3,0
[美食] 台北壽司郎 Sushiro之日本近500家分店的人氣平價迴轉壽司來台灣展店,5,11,8,1,2,2,6,6,4,3
