title,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,word_five,word_four,word_three,word_two,word_one
【劇介+影評】電影—報告老師!怪怪怪怪物!(有雷慎入),5,3,3,0,1,2,3,1,1,0
【劇介+影評】電影—報告老師!怪怪怪怪物!(有雷慎入),5,3,3,0,1,2,3,1,1,0
【解凍屍篇｜Bluebeard】各懷鬼胎,1,8,18,2,0,2,7,16,5,4
《明日邊界》(Edge of Tomorrow) - 一看完就讓我想重看的片,3,9,2,0,0,3,4,11,7,2
血紅帽,1,4,23,14,0,1,4,9,4,1
[有雷劇介&心得]電影—報告老師！怪怪怪怪物！ ＜誰才是怪物？誰不是壞人？＞,0,3,13,10,0,0,3,15,11,0
《極樂宿舍》，出社會前，就躲在宿舍吧。,7,11,88,77,24,2,8,15,8,1
悟空傳《Wukong》 ,1,15,15,0,0,1,3,7,6,1
[看影集學英文] 最夯美國影集(美劇)推薦及劇情提要(無雷) PART 2 (2018更新),22,45,169,130,41,3,10,48,18,0
【電影《與神同行》──別忘了這是地獄啊！】介紹、心得分析、經典台詞,2,6,5,0,0,0,6,16,8,0
[電影] 我心目中的十大排名韓國電影推薦☞②,13,53,205,83,5,2,27,62,4,3
瘋謎來看我吧 come to see me/nal borowayo (insane),4,13,39,23,3,0,2,5,4,0
會計師 The Accountant-畫作、音樂與電影：「勇者無敵」 自閉症關懷版,6,18,92,48,11,3,11,17,3,1
《血觀音》冷感無愛直到麻木不仁｜影評．心得,5,18,81,55,8,1,7,6,6,0
【電影】還不快看！15部少女必看的浪漫愛情喜劇！,16,32,135,73,28,2,31,107,31,3
報告老師！怪怪怪怪物！：劇情簡介＆人物介紹,1,5,16,4,0,1,2,6,8,1
孩子，這就是西部片→The Lone Ranger：獨行俠,12,51,49,6,4,7,23,22,3,0
《夏日樂悠悠》：到熱帶島嶼戀愛度假吧！,12,48,22,18,0,5,13,10,2,0
【影評】《七月與安生》青春的斷垣殘壁,9,61,39,13,0,10,10,11,4,0
[影評][韓國]★解冰/解凍屍篇해빙(2017)★漢江大橋下另一種令人戰慄的容貌,3,20,27,2,0,1,6,9,1,0
心靈鑰匙‧not stop looking.,7,39,29,3,0,1,15,8,2,0
{Drama)  漢娜的遺言 13 Reasons Why 第二季 (無雷&有雷) 影集心得+ 原聲帶推薦,3,51,89,13,0,6,19,24,0,0
安潔莉娜裘莉 特務間諜 Angelina Jolie (Salt)觀後感,4,13,22,1,0,1,5,10,3,0
真的回不去了  「犀利人妻最終回  幸福男。不難」,10,29,12,6,0,1,8,9,3,0
中華英雄 風雲再起,4,23,33,6,2,0,7,13,1,0
《逃出絕命鎮》分析討論：請多準備幾副茶具,6,46,25,7,0,10,11,9,2,0
女人與鯊-絕鯊島〈The Shallows〉,9,41,32,13,0,1,17,5,5,1
[電影心得]魍美 （有雷劇透）,2,39,33,5,0,0,11,16,6,0
[影評]逃出絕命鎮/Get Out(含暗黑結局) - 為什麼要逼我殺人? ,9,43,32,4,0,3,21,16,1,0
【電影心得】鬼病院-靈異病院,4,40,24,7,1,4,13,17,2,2
"無腦笑點搞得我《一個頭兩個大》（Me, Myself & Irene）",4,3,1,0,1,2,5,2,1,0
