title,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,word_five,word_four,word_three,word_two,word_one
2018耳機熱門排行前十名推薦，無論是耳罩耳機、入耳式耳機、單耳雙耳藍牙耳機一次收錄!!,6,4,3,2,0,11,22,21,4,0
2017最新十大知名智能手環推薦大評比。到底該如何選擇??,1,16,5,1,0,0,2,25,1,0
安博盒子三代 使用半年後心得分享,1,0,20,0,0,0,1,5,0,0
【開箱】旅行必備 超推薦金屬質感手機腳架自拍棒 金剛自拍棒,3,6,0,0,0,1,5,26,3,2
【雙耳藍芽耳機】除了Apple AirPods？有新選擇嗎？(1對2藍牙耳機推薦10大排名),8,9,9,2,0,10,32,44,7,0
【筆電選購推薦】 2018年6月,10,15,2,0,0,0,11,23,0,0
經濟實惠的高品質音效選擇！TCSTAR 多功能藍牙環繞 3D 劇院喇叭 TCS9100 開箱評測！,0,4,8,6,0,1,2,8,2,0
2017年最平價實用的藍芽喇叭推薦十大排名懶人包，頂級CP值的選擇。(藍牙喇叭推薦),1,6,4,0,0,0,26,33,0,0
[開箱]Tronsmart 三合一編織鯊魚線-120CM,1,2,6,2,0,0,5,5,0,0
2018 最佳真無線藍牙耳機推薦,1,0,16,0,0,0,0,7,0,0
有什麼APP來自動通話錄音？這4款最佳免費手機通話錄音APP，你非知不可,2,0,1,0,0,7,6,10,1,0
10大超人氣行動電源品牌排行，推薦挑選行動電源最速懶人包~,1,11,7,2,0,0,4,25,11,0
【平價手機推薦】$$一萬有找！5支你可以入手的便宜智慧型4G手機！,4,4,2,0,0,10,9,10,0,0
【好物推薦】Google Chromecast V3_開箱實測,7,35,38,10,2,4,22,11,5,0
[開箱]小米手環2 介紹及使用心得,3,46,33,15,4,2,18,11,14,5
[開箱] 四機合一CP值最高Honeywell移動式冷暖空調(MN12CHESWW),15,46,37,16,8,2,8,17,6,0
[烤箱]Panasonic NB-H3200 ▎CP值高，我有一種相見恨晚的淡淡哀傷⋯⋯,3,36,33,8,2,3,13,5,8,0
IG病重度者必備的排版APP,2,31,17,7,0,3,9,3,1,0
分享 | PChome商店街0元開店免運，10大優點整理商店街與個人賣場差別,7,42,20,11,0,5,14,3,9,0
[IOS] FancyKey:用它打出IG上的英文小字和有底線的英文!,0,10,6,2,1,0,4,2,2,0
華為MediaPad M5 10.8體驗 輕鬆紀錄懷孕每一刻,0,36,33,10,1,0,22,10,6,1
［開箱］HTC－U11 開箱與使用心得,18,65,52,31,0,3,27,16,9,0
電腦螢幕也能看第四台！第四台專用電視盒(尊爵豪華版SA1100) @ lte09的部落格 :: 痞客邦 ::,1,11,50,46,9,0,3,13,22,11
[轉錄＆推薦] 奈須的超級槍彈辯駁2心得 @ W.F的碎碎念之國  :: 痞客邦 ::,5,7,4,0,1,7,13,5,2,0
【動畫感想】槍彈辯駁3(彈丸論破3)  未來篇&絕望篇 @ 夜色漸深 :: 痞客邦 ::,5,15,2,1,0,6,9,5,3,1
最想敗! 票選前五名的SHARP夏普 45吋 FHD連網液晶電視 LC-45LE580T的開箱評價 @ 優惠好康收藏家 :: 痞客邦 ::,0,0,4,0,0,0,4,2,1,5
[JoeTsaiBox]X3T全觸控超級續航真無線立體聲運動全觸控防水藍芽耳機開箱試用~ @ JoeTsaiBox [韭菜盒子]的部落格 :: 痞客邦 ::,0,3,4,1,3,0,5,6,3,2
越南電信公司Vinaphone的上網套餐與儲值 @ 就是部落格 :: 痞客邦 ::,0,5,0,0,1,3,5,1,3,0
（好物分享）360 隨身WIFi  將電腦當無線基地台用~ @ 微微笑的藍天～ :: 痞客邦 ::,0,6,4,0,0,0,7,3,0,0
【最便宜】【KINYO】電擊式補蚊燈(KL-611)-開箱文 @ 林怡英的生活時報 :: 痞客邦 ::,0,0,6,0,0,0,0,4,0,3
[分享] 我的第一個看不出是電源的極致輕薄名片TC STAR行動電源3200M1A (獎) @ 老虎狗♪♡ⓣⓘⓖⓔⓡⓓⓞⓖ♡♪ :: 痞客邦 ::,0,8,4,1,3,5,12,3,0,5
2018 十款最佳無線藍牙耳機推薦 @ ironpig 快跑 :: 痞客邦 ::,6,21,26,11,4,11,38,25,13,6
Sudio X Vasa Bla // 來自瑞典的北歐簡約風藍芽耳機開箱文，更好的隔絕外界音 ♪ 運動耳機推薦、藍芽耳機推薦 @ Saisai's Journey :: 痞客邦 ::,1,6,6,2,6,2,10,1,2,9
ASUS 華碩 ZenFone 5 (ZE620KL) 開箱！體驗多項 AI 功能的超高佔比 6.2 吋 19:9 全螢幕智慧型手機，讓你輕鬆按輕鬆拍。越拍越懂你 @ ifans 林小旭 :: 痞客邦 ::,14,31,6,0,1,12,39,17,4,2
